id,label
0,8
1,3
2,0
3,4
4,2
5,9
6,2
7,0
8,8
9,3
10,9
11,3
12,1
13,5
14,5
15,3
16,4
17,9
18,0
19,9
20,0
21,2
22,3
23,5
24,9
25,1
26,6
27,2
28,7
29,0
30,6
31,4
32,1
33,5
34,2
35,4
36,7
37,0
38,7
39,7
40,8
41,5
42,6
43,3
44,6
45,2
46,0
47,9
48,7
49,7
50,6
51,5
52,2
53,3
54,6
55,7
56,1
57,1
58,7
59,7
60,3
61,1
62,2
63,3
64,1
65,3
66,1
67,6
68,5
69,1
70,2
71,1
72,2
73,3
74,4
75,1
76,7
77,5
78,7
79,9
80,3
81,6
82,7
83,9
84,3
85,7
86,8
87,8
88,3
89,2
90,7
91,0
92,1
93,0
94,5
95,5
96,5
97,8
98,3
99,2
100,6
101,2
102,0
103,4
104,8
105,6
106,0
107,4
108,8
109,4
110,1
111,5
112,9
113,8
114,1
115,3
116,6
117,0
118,1
119,2
120,1
121,4
122,1
123,2
124,6
125,0
126,8
127,2
128,7
129,1
130,1
131,8
132,7
133,2
134,6
135,2
136,8
137,9
138,3
139,3
140,3
141,4
142,7
143,2
144,8
145,3
146,6
147,8
148,3
149,0
150,6
151,6
152,8
153,8
154,8
155,4
156,1
157,8
158,4
159,6
160,9
161,8
162,8
163,3
164,2
165,5
166,1
167,2
168,1
169,2
170,9
171,8
172,4
173,9
174,4
175,6
176,8
177,7
178,7
179,2
180,7
181,3
182,8
183,0
184,9
185,4
186,4
187,7
188,6
189,0
190,2
191,8
192,4
193,4
194,6
195,6
196,8
197,9
198,0
199,8
200,3
201,2
202,1
203,1
204,4
205,0
206,6
207,2
208,0
209,4
210,0
211,9
212,4
213,8
214,9
215,5
216,1
217,6
218,2
219,3
220,5
221,3
222,3
223,3
224,8
225,3
226,9
227,4
228,3
229,3
230,0
231,5
232,8
233,0
234,0
235,6
236,8
237,5
238,9
239,0
240,5
241,7
242,8
243,1
244,8
245,8
246,6
247,1
248,9
249,9
250,0
251,1
252,7
253,3
254,7
255,9
256,6
257,5
258,7
259,1
260,4
261,4
262,1
263,5
264,8
265,5
266,2
267,8
268,3
269,2
270,1
271,7
272,4
273,9
274,5
275,4
276,8
277,3
278,5
279,5
280,8
281,1
282,8
283,6
284,7
285,2
286,4
287,5
288,0
289,7
290,2
291,5
292,5
293,4
294,7
295,2
296,7
297,3
298,0
299,9
300,4
301,2
302,5
303,1
304,7
305,3
306,0
307,4
308,6
309,9
310,5
311,3
312,3
313,3
314,4
315,6
316,6
317,2
318,1
319,9
320,7
321,1
322,3
323,9
324,0
325,9
326,3
327,5
328,8
329,5
330,3
331,6
332,5
333,5
334,2
335,0
336,6
337,1
338,5
339,2
340,2
341,8
342,8
343,5
344,1
345,7
346,8
347,9
348,0
349,1
350,9
351,9
352,3
353,1
354,6
355,6
356,7
357,3
358,9
359,1
360,6
361,0
362,1
363,2
364,5
365,2
366,6
367,8
368,4
369,0
370,2
371,8
372,3
373,3
374,7
375,7
376,4
377,5
378,7
379,1
380,2
381,9
382,2
383,3
384,6
385,6
386,1
387,2
388,2
389,5
390,0
391,8
392,4
393,2
394,8
395,3
396,9
397,0
398,5
399,1
400,8
401,6
402,6
403,6
404,0
405,5
406,2
407,2
408,3
409,0
410,1
411,0
412,3
413,6
414,2
415,7
416,4
417,7
418,1
419,5
420,6
421,6
422,3
423,6
424,9
425,1
426,6
427,5
428,7
429,2
430,3
431,6
432,1
433,6
434,3
435,2
436,6
437,0
438,7
439,9
440,0
441,8
442,4
443,7
444,4
445,6
446,7
447,6
448,5
449,9
450,3
451,8
452,7
453,3
454,7
455,6
456,3
457,4
458,7
459,1
460,8
461,9
462,4
463,3
464,5
465,5
466,3
467,9
468,1
469,6
470,1
471,0
472,8
473,5
474,6
475,1
476,2
477,2
478,8
479,4
480,9
481,8
482,1
483,8
484,7
485,0
486,5
487,7
488,3
489,6
490,9
491,8
492,3
493,3
494,0
495,2
496,0
497,8
498,2
499,4
500,5
501,8
502,3
503,3
504,3
505,6
506,4
507,2
508,2
509,4
510,8
511,9
512,5
513,1
514,5
515,6
516,1
517,2
518,0
519,9
520,4
521,8
522,4
523,1
524,7
525,5
526,2
527,3
528,3
529,4
530,6
531,2
532,4
533,3
534,6
535,1
536,4
537,2
538,9
539,7
540,7
541,9
542,3
543,5
544,2
545,0
546,6
547,6
548,2
549,9
550,0
551,6
552,9
553,3
554,2
555,6
556,6
557,5
558,3
559,3
560,9
561,7
562,9
563,4
564,2
565,3
566,9
567,4
568,1
569,0
570,6
571,5
572,2
573,2
574,8
575,1
576,6
577,4
578,4
579,9
580,4
581,3
582,1
583,8
584,9
585,7
586,0
587,6
588,3
589,2
590,3
591,7
592,5
593,8
594,6
595,8
596,9
597,1
598,8
599,1
600,4
601,1
602,8
603,8
604,2
605,2
606,4
607,6
608,7
609,5
610,8
611,5
612,4
613,3
614,8
615,5
616,3
617,0
618,2
619,2
620,8
621,6
622,5
623,0
624,2
625,9
626,1
627,5
628,2
629,1
630,3
631,9
632,9
633,6
634,3
635,4
636,9
637,9
638,2
639,9
640,2
641,6
642,3
643,3
644,5
645,2
646,4
647,1
648,0
649,0
650,4
651,1
652,5
653,8
654,1
655,4
656,9
657,0
658,7
659,1
660,4
661,8
662,9
663,7
664,4
665,3
666,7
667,0
668,7
669,0
670,0
671,5
672,4
673,0
674,8
675,5
676,7
677,0
678,7
679,6
680,7
681,8
682,7
683,1
684,7
685,8
686,3
687,3
688,2
689,9
690,7
691,6
692,0
693,8
694,0
695,4
696,3
697,7
698,5
699,0
700,6
701,8
702,6
703,4
704,4
705,9
706,9
707,7
708,3
709,0
710,7
711,7
712,9
713,8
714,0
715,4
716,3
717,0
718,6
719,7
720,2
721,1
722,6
723,9
724,4
725,5
726,8
727,5
728,2
729,3
730,0
731,3
732,6
733,4
734,6
735,2
736,0
737,6
738,3
739,6
740,0
741,2
742,4
743,6
744,8
745,3
746,1
747,3
748,1
749,7
750,4
751,2
752,2
753,4
754,1
755,7
756,6
757,3
758,4
759,9
760,2
761,9
762,2
763,2
764,6
765,3
766,1
767,2
768,9
769,3
770,2
771,5
772,8
773,5
774,1
775,4
776,5
777,0
778,3
779,4
780,5
781,8
782,5
783,6
784,6
785,6
786,3
787,1
788,0
789,7
790,2
791,8
792,1
793,6
794,9
795,1
796,2
797,6
798,7
799,2
800,4
801,2
802,8
803,9
804,9
805,2
806,6
807,5
808,6
809,1
810,1
811,1
812,0
813,1
814,9
815,0
816,6
817,8
818,5
819,1
820,4
821,9
822,4
823,8
824,7
825,3
826,0
827,5
828,7
829,2
830,8
831,0
832,9
833,2
834,7
835,6
836,6
837,9
838,9
839,5
840,0
841,2
842,5
843,0
844,3
845,4
846,6
847,3
848,8
849,4
850,3
851,3
852,2
853,2
854,1
855,9
856,8
857,2
858,7
859,4
860,0
861,0
862,7
863,6
864,5
865,3
866,0
867,6
868,4
869,8
870,0
871,0
872,6
873,6
874,2
875,9
876,3
877,4
878,5
879,0
880,9
881,8
882,0
883,0
884,0
885,1
886,2
887,4
888,0
889,7
890,5
891,4
892,5
893,6
894,9
895,1
896,4
897,9
898,5
899,0
900,4
901,2
902,2
903,6
904,7
905,6
906,7
907,6
908,8
909,5
910,9
911,0
912,6
913,3
914,9
915,7
916,9
917,9
918,7
919,7
920,7
921,0
922,3
923,8
924,2
925,5
926,3
927,1
928,7
929,3
930,9
931,7
932,9
933,2
934,6
935,1
936,2
937,8
938,2
939,5
940,0
941,4
942,9
943,2
944,4
945,0
946,5
947,4
948,0
949,6
950,3
951,7
952,7
953,1
954,0
955,2
956,7
957,9
958,4
959,9
960,9
961,1
962,5
963,5
964,3
965,9
966,9
967,2
968,1
969,4
970,5
971,8
972,2
973,4
974,6
975,9
976,0
977,2
978,3
979,1
980,2
981,3
982,7
983,2
984,4
985,0
986,5
987,8
988,2
989,0
990,0
991,5
992,7
993,4
994,7
995,7
996,4
997,0
998,3
999,3
1000,1
1001,2
1002,6
1003,6
1004,8
1005,7
1006,2
1007,3
1008,0
